time,symbol,side,qty,price,fees
2026-09-21 09:34:10,MNQ,buy,2,21452.25,1.24
2026-09-21 09:41:55,MNQ,sell,2,21478.50,1.24
2026-09-21 10:02:03,TSLA,sell,100,341.20,0.50
2026-09-21 10:15:40,TSLA,buy,100,339.05,0.50
2026-09-21 10:48:12,MES,buy,3,5931.00,1.86
2026-09-21 10:52:30,MES,buy,2,5929.50,1.24
2026-09-21 11:20:05,MES,sell,5,5924.25,3.10
2026-09-22 09:38:44,NVDA,buy,150,178.42,0.75
2026-09-22 09:52:10,NVDA,sell,75,179.35,0.38
2026-09-22 10:20:31,NVDA,sell,75,179.90,0.37
2026-09-22 10:41:00,MNQ,sell,3,21510.00,1.86
2026-09-22 10:47:15,MNQ,buy,3,21528.25,1.86
2026-09-22 10:55:02,MNQ,sell,4,21530.00,2.48
2026-09-22 11:03:40,MNQ,buy,4,21541.75,2.48
